"Registration number","Date and number of the decision","The complete and reduced name","OGRN, INN","Information on compulsory liability insurance contracts for causing losses to the debtor","The address","Address of the website","Email address","Restrictions on the methods of interaction, the period of validity of the restriction","Decision date and number about an exception of information","Risk category of harm (damage) (1 - low, 2 - medium, 3 - significant, 4 - high)"
"65","13.02.2017,  82906/17/2277-ЮЧ","Общество с ограниченной ответственностью «ПРИОРИТЕТ», ООО «ПРИОРИТЕТ»","ОГРН 1159102128921,  ИНН 9102200252","ООО «Абсолют Страхование», период действия договора с 25.03.2021 по 24.03.2022","344033,  Ростовская область,  г.о. город Ростов-на-Дону,  г. Ростов-на-Дону,  ул. Магнитогорская,  д. 1Б, ком. 41","prioritet-org.ru","","","28.07.2021, 61922/21/75320-МЧ",""
"66","13.02.2017,  82906/17/2278-ЮЧ","Общество с ограниченной ответственностью «ПЕРСОНАЛ АКТИВ ПЛЮС ЮГ», ООО «ПЕРСОНАЛ АКТИВ ПЛЮС ЮГ»","ОГРН 1159102132771,  ИНН 9102202041","АО «Акционерная страховая компания «РОСМЕД», период действия договора с 12.01.2017 по 11.01.2018","295034,  Республика Крым,  г. Симферополь,  просп. Кирова, д. 29/1,  офис 413-Б","personalaktiv.ru","info@personalaktiv.ru","","20.02.2018, 82906/18/2813-ИР",""
"67","13.02.2017,  82906/17/2280-ЮЧ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация КОНТРОЛЬ», ООО «ПКО КОНТРОЛЬ»","ОГРН 1159102130549,  ИНН 9102201009","ПАО СК «Росгосстрах», период действия договора с 25.03.2026 по 24.03.2027","358000,  Республика Калмыкия,  г.о. город Элиста, г. Элиста, ул. В.И. Ленина, д. 240, офис 306","ooo-kontrol.com","info@ooo-kontrol.com","","",""
"68","14.02.2017,  77922/17/97890-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Долговое агентство ВЕРУС», ООО «ПКО «Долговое агентство ВЕРУС»","ОГРН 1147746559707,  ИНН 7727834940","ООО «Абсолют Страхование», период действия договора с 23.03.2026 по 22.03.2027","109382,  г. Москва,  ул. Судакова, д. 10,  офис 213","daverus.ru","vozvrat@daverus.ru","","","1"
"69","14.02.2017,  77922/17/97840-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Стратегия», ООО ПКО «Стратегия»","ОГРН 1097746070267,  ИНН 7723706312","ООО «Зетта Страхование», период действия договора с 14.09.2025 по 13.09.2026","111033,  г. Москва, вн.тер.г. муниципальный округ Лефортово, ул. Золоторожский вал,  д. 11, стр. 21, этаж 4,  помещ./оф. V, ком. 409","strategiya.msk.ru","info@strategiya.msk.ru","","","1"
"70","15.02.2017,  09907/17/1421-РУ","Общество с ограниченной ответственностью Коллекторское агентство «Диалог-Финанс», ООО КА «Диалог-Финанс»","ОГРН 1140916001060,  ИНН 0916009139","ООО «Абсолют страхование», период действия договора с 23.01.2026 по 22.01.2027","369000,  Карачаево-Черкесская Республика,  г. Черкесск,  ул. Ставропольская, д. 40-А, офис 1-3","kadialogfinans.umi.ru","kadialogfinans@mail.ru","","","1"
"71","15.02.2017,  77922/17/96159-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Группа СВС», ООО «ПКО «Группа СВС»","ОГРН 1037716007780,  ИНН 7716228295","СПАО «Ингосстрах», период действия договора с 26.03.2025 по 25.03.2026","129344,  г. Москва,  ул. Верхоянская, д. 18,  корп. 2, помещ. 2, офис 141","svs-group.ru","info@svs-group.ru","","","1"
"72","15.02.2017,  77922/17/96182-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «РегионКонсалт», ООО ПКО «РегионКонсалт»","ОГРН 5087746292585,  ИНН 7702686930","ПАО СК «Росгосстрах», период действия договора с 25.01.2026 по 24.01.2027","117218,  г. Москва,  ул. Кржижановского,  д. 15, корп. 5, офис 208","regionc.ru","info@regionc.ru","","","1"
"73","17.02.2017,  54922/17/4318-ВЭ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Форвард»», ООО «ПКО «Форвард»","ОГРН 1145476156055,  ИНН 5406796664","СПАО «Ингосстрах», период действия договора с 19.01.2026 по 18.01.2027","630099,  Новосибирская область, г.о. город Новосибирск,  г. Новосибирск,  ул. Урицкого,  д. 21, этаж 3,  помещ. 7,9,10,11,12,13,14,15,16","caforward.ru","dolg.info@caforward.ru","","","1"
"74","17.02.2017,  64922/17/6460-ОТ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Триада», ООО «ПКО «Триада»","ОГРН 1086455000521,  ИНН 6455047081","АО «АльфаСтрахование», период действия договора с 01.02.2026 по 31.01.2027","410056,  Саратовская область,  г. Саратов,  ул. им. Пугачева Е.И.,  д. 54/62, лит. Г, помещ. 3","avdtriada.ru","avd_triada@mail.ru","","","1"
"75","20.02.2017,  63922/17/6377-ВК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Легал Коллекшн», ООО «Профессиональная коллекторская организация «Легал Коллекшн»","ОГРН 1166313083265,  ИНН 6316220412","АО «Совкомбанк страхование», период действия договора с 11.05.2026 по 10.05.2027","443079,  Самарская область,  г. Самара,  ул. Революциионная, д. 111, этаж 1","legalc.ru","valeriy.chernov@legalc.ru","","","1"
